LUGAR;LATITUDE;LONGITUDE
Repibelo;43.326177; -8.517687
El Aguilucho;43.359135;-8.839874
Campo de baile;42.994038;-8.566976
Capilla do Pico Sacro;42.807712;-8.446598
Mirador do Eume; 43.39344740987665; -8.020457699527734
Fervenza de Casariños;42.34515083142719; -8.360212525200279
Pozas de Loureza;41.99924190167627; -8.811770616741534
Pozo do Inferno;42.1582161438924; -8.232842374410247
Pico Vidrosa;43.49497763286664; -6.799204852516123
Pico El Cordel;43.50823852729869; -6.610634831604606
Muiño da Ruxida;43.13517013268475; -7.873558443866033
Sierra del Careón;42.92867493883417; -7.948354500809338
Rio de Parteme;42.480692078725184; -7.299653433946479
Igrexa de Santalla do Monte;42.364623632141594; -7.050996366674552
Mirador Chandoiro;42.32086466679934; -7.146436586531118